Algorithm,Size,Time(seconds)
bubble,3000,0.015095
selection,3000,0.011413
insertion,3000,0.001515
shell,3000,0.000222
heap,3000,0.000198
merge,3000,0.000232
quick,3000,0.000143
comb,3000,0.000185
cocktail,3000,0.015764
cycle,3000,0.006204
gnome,3000,0.015066
tim,3000,0.000113
counting,3000,0.000011
radix,3000,0.000049
bucket,3000,0.000141
pigeonhole,3000,0.000041
bitonic,3000,0.000444
stooge,3000,2.811800
oddeven,3000,0.003391
strand,3000,0.000848
intro,3000,0.000117
bubble,3100,0.013855
selection,3100,0.010019
insertion,3100,0.001357
shell,3100,0.000233
heap,3100,0.000214
merge,3100,0.000328
quick,3100,0.000177
comb,3100,0.000224
cocktail,3100,0.015095
cycle,3100,0.006852
gnome,3100,0.015576
tim,3100,0.000120
counting,3100,0.000015
radix,3100,0.000062
bucket,3100,0.000148
pigeonhole,3100,0.000044
bitonic,3100,0.000489
stooge,3100,2.798447
oddeven,3100,0.003780
strand,3100,0.000828
intro,3100,0.000116
bubble,3200,0.015197
selection,3200,0.011495
insertion,3200,0.001066
shell,3200,0.000233
heap,3200,0.000197
merge,3200,0.000218
quick,3200,0.000152
comb,3200,0.000196
cocktail,3200,0.014655
cycle,3200,0.006765
gnome,3200,0.016853
tim,3200,0.000148
counting,3200,0.000014
radix,3200,0.000064
bucket,3200,0.000154
pigeonhole,3200,0.000041
bitonic,3200,0.000494
stooge,3200,2.830897
oddeven,3200,0.003850
strand,3200,0.000869
intro,3200,0.000132
bubble,3300,0.019343
selection,3300,0.011853
insertion,3300,0.001069
shell,3300,0.000213
heap,3300,0.000218
merge,3300,0.000258
quick,3300,0.000145
comb,3300,0.000192
cocktail,3300,0.016103
cycle,3300,0.008624
gnome,3300,0.016232
tim,3300,0.000115
counting,3300,0.000012
radix,3300,0.000060
bucket,3300,0.000158
pigeonhole,3300,0.000037
bitonic,3300,0.000497
stooge,3300,2.826775
oddeven,3300,0.004569
strand,3300,0.000900
intro,3300,0.000139
bubble,3400,0.018323
selection,3400,0.012746
insertion,3400,0.001100
shell,3400,0.000219
heap,3400,0.000226
merge,3400,0.000269
quick,3400,0.000150
comb,3400,0.000207
cocktail,3400,0.017727
cycle,3400,0.008007
gnome,3400,0.017369
tim,3400,0.000151
counting,3400,0.000017
radix,3400,0.000070
bucket,3400,0.000173
pigeonhole,3400,0.000047
bitonic,3400,0.000532
stooge,3400,2.796951
oddeven,3400,0.004366
strand,3400,0.000919
intro,3400,0.000126
bubble,3500,0.019662
selection,3500,0.012978
insertion,3500,0.001203
shell,3500,0.000242
heap,3500,0.000220
merge,3500,0.000257
quick,3500,0.000158
comb,3500,0.000195
cocktail,3500,0.022352
cycle,3500,0.008361
gnome,3500,0.019984
tim,3500,0.000184
counting,3500,0.000029
radix,3500,0.000110
bucket,3500,0.000299
pigeonhole,3500,0.000069
bitonic,3500,0.000760
stooge,3500,2.792476
oddeven,3500,0.004746
strand,3500,0.000999
intro,3500,0.000135
bubble,3600,0.019033
selection,3600,0.013654
insertion,3600,0.001190
shell,3600,0.000242
heap,3600,0.000243
merge,3600,0.000255
quick,3600,0.000152
comb,3600,0.000218
cocktail,3600,0.020377
cycle,3600,0.008727
gnome,3600,0.021975
tim,3600,0.000177
counting,3600,0.000015
radix,3600,0.000072
bucket,3600,0.000290
pigeonhole,3600,0.000055
bitonic,3600,0.000585
stooge,3600,8.444903
oddeven,3600,0.004830
strand,3600,0.001041
intro,3600,0.000141
bubble,3700,0.020054
selection,3700,0.014254
insertion,3700,0.001255
shell,3700,0.000267
heap,3700,0.000251
merge,3700,0.000267
quick,3700,0.000163
comb,3700,0.000245
cocktail,3700,0.022477
cycle,3700,0.009227
gnome,3700,0.022125
tim,3700,0.000145
counting,3700,0.000034
radix,3700,0.000069
bucket,3700,0.000212
pigeonhole,3700,0.000048
bitonic,3700,0.000584
stooge,3700,8.504278
oddeven,3700,0.005086
strand,3700,0.001102
intro,3700,0.000147
bubble,3800,0.024053
selection,3800,0.013836
insertion,3800,0.001368
shell,3800,0.000266
heap,3800,0.000269
merge,3800,0.000278
quick,3800,0.000240
comb,3800,0.000228
cocktail,3800,0.023734
cycle,3800,0.009599
gnome,3800,0.025380
tim,3800,0.000203
counting,3800,0.000016
radix,3800,0.000076
bucket,3800,0.000237
pigeonhole,3800,0.000049
bitonic,3800,0.000767
stooge,3800,8.529147
oddeven,3800,0.005178
strand,3800,0.001171
intro,3800,0.000179
bubble,3900,0.027860
selection,3900,0.014258
insertion,3900,0.001526
shell,3900,0.000380
heap,3900,0.000377
merge,3900,0.000361
quick,3900,0.000206
comb,3900,0.000410
cocktail,3900,0.025580
cycle,3900,0.010245
gnome,3900,0.024599
tim,3900,0.000163
counting,3900,0.000046
radix,3900,0.000073
bucket,3900,0.000220
pigeonhole,3900,0.000048
bitonic,3900,0.000640
stooge,3900,8.521461
oddeven,3900,0.005640
strand,3900,0.001152
intro,3900,0.000158
bubble,4000,0.025388
selection,4000,0.016931
insertion,4000,0.001570
shell,4000,0.000281
heap,4000,0.000247
merge,4000,0.000307
quick,4000,0.000178
comb,4000,0.000240
cocktail,4000,0.027063
cycle,4000,0.011779
gnome,4000,0.027643
tim,4000,0.000179
counting,4000,0.000018
radix,4000,0.000075
bucket,4000,0.000246
pigeonhole,4000,0.000046
bitonic,4000,0.000654
stooge,4000,8.428291
oddeven,4000,0.005798
strand,4000,0.001173
intro,4000,0.000158
bubble,4100,0.027312
selection,4100,0.015947
insertion,4100,0.001494
shell,4100,0.000324
heap,4100,0.000262
merge,4100,0.000309
quick,4100,0.000184
comb,4100,0.000271
cocktail,4100,0.026133
cycle,4100,0.011375
gnome,4100,0.028100
tim,4100,0.000185
counting,4100,0.000016
radix,4100,0.000081
bucket,4100,0.000332
pigeonhole,4100,0.000053
bitonic,4100,0.000699
stooge,4100,8.459832
oddeven,4100,0.006145
strand,4100,0.001268
intro,4100,0.000160
bubble,4200,0.028351
selection,4200,0.016464
insertion,4200,0.001551
shell,4200,0.000291
heap,4200,0.000272
merge,4200,0.000297
quick,4200,0.000173
comb,4200,0.000247
cocktail,4200,0.029110
cycle,4200,0.011665
gnome,4200,0.029240
tim,4200,0.000276
counting,4200,0.000015
radix,4200,0.000076
bucket,4200,0.000240
pigeonhole,4200,0.000047
bitonic,4200,0.000708
stooge,4200,8.568660
oddeven,4200,0.006557
strand,4200,0.001247
intro,4200,0.000165
bubble,4300,0.028028
selection,4300,0.017287
insertion,4300,0.001607
shell,4300,0.000278
heap,4300,0.000284
merge,4300,0.000340
quick,4300,0.000200
comb,4300,0.000260
cocktail,4300,0.029554
cycle,4300,0.012756
gnome,4300,0.028905
tim,4300,0.000180
counting,4300,0.000014
radix,4300,0.000076
bucket,4300,0.000277
pigeonhole,4300,0.000048
bitonic,4300,0.000753
stooge,4300,8.486936
oddeven,4300,0.006871
strand,4300,0.001316
intro,4300,0.000168
bubble,4400,0.030126
selection,4400,0.019519
insertion,4400,0.001695
shell,4400,0.000311
heap,4400,0.000313
merge,4400,0.000350
quick,4400,0.000196
comb,4400,0.000253
cocktail,4400,0.032512
cycle,4400,0.013130
gnome,4400,0.032937
tim,4400,0.000274
counting,4400,0.000019
radix,4400,0.000079
bucket,4400,0.000301
pigeonhole,4400,0.000051
bitonic,4400,0.000778
stooge,4400,8.494171
oddeven,4400,0.007149
strand,4400,0.001355
intro,4400,0.000200
bubble,4500,0.030781
selection,4500,0.020425
insertion,4500,0.002053
shell,4500,0.000292
heap,4500,0.000291
merge,4500,0.000321
quick,4500,0.000302
comb,4500,0.000282
cocktail,4500,0.032923
cycle,4500,0.013601
gnome,4500,0.032527
tim,4500,0.000201
counting,4500,0.000016
radix,4500,0.000160
bucket,4500,0.000460
pigeonhole,4500,0.000059
bitonic,4500,0.000804
stooge,4500,8.524877
oddeven,4500,0.007335
strand,4500,0.001452
intro,4500,0.000187
bubble,4600,0.034850
selection,4600,0.022859
